ticker,panel,cap_tier
BRGE.L,UK,mid
BRSC.L,UK,mid
BRWM.L,UK,mid
BMY.L,UK,mid
BOY.L,UK,mid
BREE.L,UK,mid
BPT.L,UK,mid
BUT.L,UK,mid
BYIT.L,UK,mid
CLDN.L,UK,mid
CGT.L,UK,mid
CWR.L,UK,mid
CHG.L,UK,mid
CSN.L,UK,mid
CTY.L,UK,mid
CKN.L,UK,mid
CBG.L,UK,mid
CMCX.L,UK,mid
COA.L,UK,mid
CORD.L,UK,mid
COST.L,UK,mid
CWK.L,UK,mid
CURY.L,UK,mid
CVSG.L,UK,mid
DLN.L,UK,mid
DSCV.L,UK,mid
DOM.L,UK,mid
DRX.L,UK,mid
DOCS.L,UK,mid
DNLM.L,UK,mid
EDIN.L,UK,mid
EWI.L,UK,mid
ELM.L,UK,mid
ENOG.L,UK,mid
ENT.L,UK,mid
ESCT.L,UK,mid
EWG.L,UK,mid
FCSS.L,UK,mid
FEML.L,UK,mid
FEV.L,UK,mid
FSV.L,UK,mid
FGT.L,UK,mid
FGP.L,UK,mid
FGEN.L,UK,mid
FSG.L,UK,mid
FRAS.L,UK,mid
FCH.L,UK,mid
GFRD.L,UK,mid
GAMA.L,UK,mid
GCP.L,UK,mid
GEN.L,UK,mid
GNS.L,UK,mid
DATA.L,UK,mid
GSCT.L,UK,mid
GDWN.L,UK,mid
GFTU.L,UK,mid
GRI.L,UK,mid
GPE.L,UK,mid
UKW.L,UK,mid
GNC.L,UK,mid
GRG.L,UK,mid
HFD.L,UK,mid
HMSO.L,UK,mid
HANA.L,UK,mid
HBR.L,UK,mid
HVPE.L,UK,mid
HWG.L,UK,mid
HAS.L,UK,mid
HTWS.L,UK,mid
HFEL.L,UK,mid
HSL.L,UK,mid
HRI.L,UK,mid
HGT.L,UK,mid
HICL.L,UK,mid
HIK.L,UK,mid
HILS.L,UK,mid
HFG.L,UK,mid
HOC.L,UK,mid
BOWL.L,UK,mid
HTG.L,UK,mid
ICGT.L,UK,mid
INCH.L,UK,mid
IHP.L,UK,mid
INPP.L,UK,mid
IWG.L,UK,mid
IAD.L,UK,mid
IPO.L,UK,mid
ITV.L,UK,mid
JMAT.L,UK,mid
JSG.L,UK,mid
JAM.L,UK,mid
JCH.L,UK,mid
JEMI.L,UK,mid
JMGI.L,UK,mid
JEDT.L,UK,mid
JEGI.L,UK,mid
JGGI.L,UK,mid
JFJ.L,UK,mid
JUP.L,UK,mid
KNOS.L,UK,mid
KLR.L,UK,mid
KIE.L,UK,mid
LRE.L,UK,mid
LWDB.L,UK,mid
EMG.L,UK,mid
MEGP.L,UK,mid
MRC.L,UK,mid
MRCH.L,UK,mid
MTRO.L,UK,mid
PAGE.L,UK,mid
MAB.L,UK,mid
MTO.L,UK,mid
GROW.L,UK,mid
MNDI.L,UK,mid
MNKS.L,UK,mid
MONY.L,UK,mid
MOON.L,UK,mid
MGAM.L,UK,mid
MGNS.L,UK,mid
MUT.L,UK,mid
MYI.L,UK,mid
NCC.L,UK,mid
NBPE.L,UK,mid
N91.L,UK,mid
NAIT.L,UK,mid
NAS.L,UK,mid
OCI.L,UK,mid
OCDO.L,UK,mid
OSB.L,UK,mid
OXB.L,UK,mid
OXIG.L,UK,mid
ONT.L,UK,mid
PHI.L,UK,mid
PAF.L,UK,mid
PINT.L,UK,mid
PIN.L,UK,mid
PAG.L,UK,mid
PEY.L,UK,mid
PPET.L,UK,mid
PNN.L,UK,mid
PSN.L,UK,mid
PNL.L,UK,mid
PETS.L,UK,mid
PINE.L,UK,mid
PTEC.L,UK,mid
PLUS.L,UK,mid
PCGH.L,UK,mid
POLN.L,UK,mid
PPH.L,UK,mid
PFD.L,UK,mid
PHP.L,UK,mid
PRN.L,UK,mid
QQ.L,UK,mid
QLT.L,UK,mid
RNK.L,UK,mid
RPI.L,UK,mid
RAT.L,UK,mid
RSW.L,UK,mid
RHIM.L,UK,mid
RMV.L,UK,mid
RCP.L,UK,mid
ROSE.L,UK,mid
ROR.L,UK,mid
RS1.L,UK,mid
RTW.L,UK,mid
RICA.L,UK,mid
SAFE.L,UK,mid
SAGA.L,UK,mid
SVS.L,UK,mid
MNTN.L,UK,mid
ATR.L,UK,mid
SDP.L,UK,mid
SOI.L,UK,mid
SAIN.L,UK,mid
SEIT.L,UK,mid
SNR.L,UK,mid
SEQI.L,UK,mid
SSIT.L,UK,mid
SRP.L,UK,mid
SHC.L,UK,mid
SHAW.L,UK,mid
SRE.L,UK,mid
SCT.L,UK,mid
SPI.L,UK,mid
SSPG.L,UK,mid
SUPR.L,UK,mid
SYNC.L,UK,mid
THRL.L,UK,mid
TATE.L,UK,mid
TW.L,UK,mid
TBCG.L,UK,mid
TEP.L,UK,mid
TMPL.L,UK,mid
TEM.L,UK,mid
TRIG.L,UK,mid
THG.L,UK,mid
TCAP.L,UK,mid
TRN.L,UK,mid
TPK.L,UK,mid
TRY.L,UK,mid
TRST.L,UK,mid
TFIF.L,UK,mid
UTG.L,UK,mid
UEM.L,UK,mid
VSVS.L,UK,mid
VCT.L,UK,mid
VEIL.L,UK,mid
VOF.L,UK,mid
VTY.L,UK,mid
VLX.L,UK,mid
FAN.L,UK,mid
WOSG.L,UK,mid
JDW.L,UK,mid
SMWH.L,UK,mid
WIX.L,UK,mid
WIZZ.L,UK,mid
WKP.L,UK,mid
WWH.L,UK,mid
WPP.L,UK,mid
XPP.L,UK,mid
XPS.L,UK,mid
ZIG.L,UK,mid
